cas_id,cas_fecha_registro,cas_fecha_cierre,cas_estado,Usuario_Registra,Usuario_Asignado,cas_observaciones,cas_respuesta,MIN_AC,CUSTCODE_AC,NOM_CLIENTE,BARRIO_AC,TELEFONO_CONTAC,IDENTIFICACI_AC,CLAUSULA,ACTIVA_EQUIPO,CLIENTE_VIP,ZONA_SIM,ZONA_SIM_A,ZONA_SIM_B,ZONA_SIM_D,ZONA_SIM_E,TELEFONO_CONTAC_FIJO,ACTIVA_EQUIPO_2,ACTIVA_EQUIPO_3,ACTIVA_EQUIPO_4,PERSONA_CONTACTO_CORP,MIN_,EQUIPOS_2011,VALOR_EQUIPO_IVA,CONSUL_SAUC_MEDELLIN,CONSUL_SAUC_ARMENIA,CONSUL_SAUC_MANIZALES,CONSUL_SAUC_PEREIRA,ADENDO,CIUDAD_ENTREGA_REPO,DIRECCION_REPO,PERSONA_PERFILAD,CAMBIO_SIM_CARD,CLAUSULA_1_,CLAUSULA_2__,CLAUSULA_3__,CLAUSULA_4___,EQUIPOS_2011_2_,EQUIPOS_2011_3__,EQUIPOS_2011_4_,EQUIPOS_2011_5_,VALOR_EQUIPO_IVA_2,VALOR_EQUIPO_IVA_3,VALOR_EQUIPO_IVA_4,VALOR_EQUIPO_IVA_5,CAMBIO_SIM_CARD_2,CAMBIO_SIM_CARD_3,CAMBIO_SIM_CARD_4,CAMBIO_SIM_CARD_5,CIRCULO_AZUL_1,CIRCULO_AZUL_2,CIRCULO_AZUL_3,CIRCULO_AZUL_4,CIRCULO_AZUL_5,MIN_3_,MIN_4_,MIN_5_,MIN_2_,CONSUL_SAUC_CALI,CONSUL_SAUC_BARRANQU,CONSUL_SAUC_CARTAGENA,CONSUL_SAUC_PASTO,CONSUL_SAUC_IBAGUE,CONSUL_SAUC_BOGOTA,ACTIVA_EQUIPO_5_
5001127,   07/03/2012 10:00:23 a.m.,   09/03/2012 04:08:25 p.m.,   C,   ICO1550B,   ELT3521A,   Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3116559599,   8.21628377.00.00.100012,   SAAFARTEX S. A. -,   LAS FLORES,   3101111111,   802011024,   18 Meses,   NO,    SI,   Oriente,   Oriente,   Oriente,    ,    ,   1234567,   NO,   NO,    ,   Pruebas Lorena Parra,   3104695664,   Motorola Atrix,   $500 000,    ,    ,    ,    ,   NO,   Cali,   Cll 100 15 95 ofi 20,   NINGUNO,    ,   18 Meses,   18 Meses,    ,    ,   Motorola Defy,   Motorola Spice,   undefined,    ,   $350 000,   $200 000,   ,   ,    ,    ,    ,    ,   NO,   NO,   NO,    ,    ,   3207706539,   ,   ,   3207256165,    ,    ,    ,    ,    ,   Norely Jaimes 3202752997,    
5008239,   09/03/2012 09:11:21 a.m.,   09/03/2012 04:15:23 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3133337894,   8.21446558.00.00.100215,   GENFAR SA -,   ZONA INDUSTRIAL,   3102589654,   817001644,   18 Meses,   NO,   NO ,   Oriente,   Oriente,   Oriente,    ,    ,   2589631,   NO,   NO,    ,   Señor Pruebas Pruebas,   3104587456,   Motorola Xoom,   $520 564,    ,    ,    ,    ,   NO,   Barranquilla ,   cll Pruebas no. 11 11,   Ninguno,    ,   18 Meses,   18 Meses,    ,    ,   Motorola MB200 Dext,   Motorola EX118 MOTOKEY XT,   undefined,    ,   $250 540,   $233 457,   ,   ,    ,    ,    ,    ,   NO,   NO,   NO,    ,    ,   3214569874,   ,   ,   3104587456,    ,    ,    ,    ,    ,   Jimmy Andres Hernandez 3212107312,    
5008255,   09/03/2012 09:15:10 a.m.,   09/03/2012 04:15:40 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3134241353,   8.21462467.00.00.100076,   FUNDACION UNIVERSITARIA DE CIENCIAS DE L -,   BOGOTA,   3124578954,   860051853,   12 Meses,   NO,    SI,   Costa ,   Costa ,   Costa ,    ,    ,   5456974,   NO,    SI,    ,   Señor Pruebas Pruebas,   3125487966,   Avvio Chat Phone SN50,   $120 458,    ,    ,    ,    ,   NO,   Cúcuta,   cll Pruebas no. 11 11,   Ninguno,    ,   12 Meses,   12 Meses,    ,    ,   BlackBerry Torch 9860,   BlackBerry 8520 Curve Lila,   undefined,    ,   $123 456,   $250 785,   ,   ,    ,    ,    ,    ,   NO,   NO,   NO,    ,    ,   3102456987,   ,   ,   3214569874,    ,    ,    ,    ,   Leonardo Ureña 3202715941,    ,    
5008261,   09/03/2012 09:16:46 a.m.,   09/03/2012 04:15:51 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3115316469,   8.21541979.00.00.100309,   AEROREPUBLICA S.A. -,   CHICO,   3214569874,   800185781,   18 Meses,   NO,   NO,   Occidente,    ,    ,    ,    ,   6325412,    ,    ,    ,   Señor Pruebas Pruebas,   3214569874,   Blackberry 8520 Curve Azul,   $250.369,    ,    ,    ,    ,   NO,   Bogotá,   cll Pruebas no. 11 11,   Ninguno,    ,    ,    ,    ,    ,   undefined,    ,   undefined,    ,   ,   ,   ,   ,    ,    ,    ,    ,   NO,    ,    ,    ,    ,   ,   ,   ,   ,    ,    ,    ,    ,    ,   Hermann Roberto Hernandez 3144119982,    
5008270,   09/03/2012 09:19:13 a.m.,   09/03/2012 04:16:03 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3214909296,   8.21897477.00.00.100011,   SKANDIA ADMINISTRADORA DE FONDOS DE PENS -,   BOGOTA,   3107896541,   800148514,   12 Meses,   NO,   NO,   Oriente,   Oriente,    ,    ,    ,   62359874,   NO,    ,    ,   Señor Pruebas Pruebas,   3147896547,   Nokia E5-Morado,   $125 123,    ,    ,    ,    ,   NO,   Bogotá,   cll Pruebas no. 11 11,   Ninguno,    ,   12 Meses,    ,    ,    ,   Nokia C3 Negro,    ,   undefined,    ,   $125.369,   ,   ,   ,    ,    ,    ,    ,   SI ,   NO,    ,    ,    ,   ,   ,   ,   3137896541,    ,    ,    ,    ,    ,   Eddy Patricia Rodriguez 3144119976,    
5008293,   09/03/2012 09:24:12 a.m.,   09/03/2012 04:16:14 p.m.,   C,   ICO1550B,   ELT3521A,   NingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNingunoNinguno,   prueba enviado por Christian Giovanni Jimenez Beltran,   3133979976,   8.21433388.00.00.100003,   SET LTDA.,   SANTAFE,   3124569874,   830014922,   12 Meses,   NO,    SI,   Occidente,   Occidente,   Occidente,    ,    ,   43369874,   NO,   NO,    ,   Señor Pruebas Pruebas,   3114569874,   LG Optimus 3D,   $125.365,    ,    ,    ,    ,   NO,   Cali,   cll Pruebas no. 11 11,   Ninguno,    ,   12 Meses,   12 Meses,    ,    ,   LG GB190-Rachel,   LG Optimus 3D,   undefined,    ,   $452.123,   $125.412,   ,   ,    ,    ,    ,    ,   NO,   NO,   NO,    ,    ,   3107896541,   ,   ,   3117896541,   Erika Maria Posso 3217999959,    ,    ,    ,    ,    ,    
5008333,   09/03/2012 09:29:44 a.m.,   09/03/2012 04:16:34 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3204889325,   8.21687526.00.00.100173,   ASOCIACION NACIONAL DE PENSIONADOS DEL B -,   TEUSAQUILLO,   3127896451,   860041873,   12 Meses,   NO,    SI,   Oriente,   Oriente,    ,    ,    ,   36541258,   NO,    ,    ,   Señor Pruebas Pruebas,   3107896541,   Alcatel OT-660A-Rosado,   $100.257,    ,    ,    ,    ,   NO,   Bogotá,   cll Pruebas no. 11 11,   Ninguno,    ,   12 Meses,    ,    ,    ,   BlackBerry 8520 Curve,    ,   undefined,    ,   $250.214,   ,   ,   ,    ,    ,    ,    ,   SI ,   SI ,    ,    ,    ,   ,   ,   ,   3102589632,    ,    ,    ,    ,    ,   Flor Yobany Lopez 3214319927,    
5008552,   09/03/2012 10:07:41 a.m.,   09/03/2012 04:16:44 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3125881952,   8.21220724.00.00.100104,   DIANA CORPORACIÓN S.A. / DICORP S.A. -,   BOGOTA,   3107412589,   860031606,   24 Meses,   NO,   NO,   Oriente,   Oriente,   Oriente,    ,    ,   62587411,   NO,   NO,    ,   Señor Pruebas Pruebas,   3119632456,   iPhone 4 16GB,   $850.222,    ,    ,    ,    ,   NO,   Bogotá,   cll Pruebas no. 11 11,   Ninguno,    ,   24 Meses,   24 Meses,    ,    ,   iPhone 4 16GB,   iPhone 4 16GB BLANCO,   undefined,    ,   $750.258,   $800.000,   ,   ,    ,    ,    ,    ,   NO,   NO,   NO,    ,    ,   3214569745,   ,   ,   3117896547,    ,    ,    ,    ,    ,   David Alejandro Fajardo 3204989927,    
5008621,   09/03/2012 10:21:48 a.m.,   09/03/2012 04:16:53 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3102028789,   8.21792277.00.00.100049,   REDEBAN MULTICOLOR S A -,   TEUSAQUILLO,   3102789654,   830070527,   12 Meses,   NO,    SI,   Occidente,   Occidente,   Occidente,   Occidente,   Occidente,   45278541,   NO,   NO,   NO,   Señor Pruebas Pruebas,   3102222222,   Alcatel OT-708A-Gris,   $100.000,    ,    ,    ,   Martha Isabel Vargas 3146826839,   NO,   Pereira ,   cll Pruebas no. 11 11,   Ninguno,    ,   12 Meses,   12 Meses,   12 Meses,   12 Meses,   AVVIO 105ª,   Blackberry 8520 Curve Hot Pink,   Blackberry 8520 Curve Rosada,   Alcatel OT-880A-Naranja,   $200.000,   $300.000,   $352.251,   $125.321,    ,    ,    ,    ,   NO,   NO,   NO,   NO,   NO,   3143333333,   320111111,   3132222222,   3122222222,    ,    ,    ,    ,    ,    ,   NO
5008647,   09/03/2012 10:26:52 a.m.,   09/03/2012 04:17:03 p.m.,   C,   ICO1550B,   ELT3521A,   PruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebasPruebas,   prueba enviado por Christian Giovanni Jimenez Beltran,   3217006244,   8.21874475.00.00.100070,   IGNACIO GOMEZ & CIA IHM S A IGNACIO GOME -,   EL CORTIJO,   3124563214,   860001300,   Full Precio,   NO,    SI,   Costa ,   Costa ,   Costa ,    ,    ,   3654125,    SI,    SI,    ,   Señor Pruebas Pruebas,   3107412582,   Blackberry 8520 Curve Azul,   $500.000,    ,    ,    ,    ,   NO,   Cartagena ,   cll Pruebas no. 11 11,   Ninguno,    ,   Full Precio,   Full Precio,    ,    ,   Blackberry 8520 Curve Rosada,   BlackBerry 9300 Curve 3.5G,   undefined,    ,   $500.000,   $700.000,   ,   ,    ,    ,    ,    ,   SI ,   SI ,   SI ,    ,    ,   3214569874,   ,   ,   3125478965,    ,    ,   Jesus Eduardo Aguilera 3145162616,    ,    ,    ,    
